cruise,station,cast,daytime_Y_N,k_meas_per_m,beam_atten_0_10,k_calc_per_m
EN644,1,1,Y,0.15,0.79,0.21
EN644,2,2,N,NA,0.76,0.2
EN644,4,23,N,NA,0.7,0.17
EN644,6,7,Y,0.17,0.6,0.13
EN644,8,9,N,NA,0.46,0.08
EN644,10,13,Y,0.06,0.44,0.07
EN644,11,17,N,NA,0.44,0.07
AR39B,2,2,N,NA,0.52,NA
AR39B,4,4,N,NA,0.25,NA
AR39B,6,6,Y,0.11,0.25,NA
AR39B,8,10,Y,0.09,0.23,NA
AR39B,11,13,N,NA,0.19,NA
EN649,1,1,Y,0.22,0.87,0.23
EN649,2,5,N,NA,0.7,0.17
EN649,4,21,N,NA,0.7,0.16
EN649,6,19,N,NA,0.61,0.13
EN649,8,8,N,NA,0.55,0.11
EN649,10,12,Y,NA,0.48,0.09
EN649,11,16,Y,0.1,0.53,0.1
EN655,1,1,Y,0.23,0.78,0.2
EN655,2,2,Y,0.21,0.77,0.21
EN655,4,7,Y,0.15,0.82,0.13
EN655,10,12,Y,0.06,NA,NA
EN657,1,1,Y,0.28,1.1,0.28
EN657,2,5,Y,0.2,0.73,0.13
EN657,4,6,Y,0.09,0.73,0.13
EN657,6,17,N,NA,0.66,0.11
EN657,8,15,Y,0.07,0.61,0.09
EN657,10,9,N,NA,0.59,0.08
EN657,11,12,Y,0.09,0.61,0.09
AR61B,L2,2,N,NA,0.91,0.21
AR61B,L4,4,N,NA,0.57,0.19
AR61B,L11,9,N,NA,0.35,0.13
AR61B,L8,12,Y,0.16,0.55,0.18
AR61B,L6,18,Y,0.23,0.59,0.19
AT46,L1,1,Y,0.22,0.46,0.19
AT46,L4,2,N,NA,0.17,0.15
AT46,L6,6,Y,0.14,0.14,0.14
AT46,L11,7,Y,0.11,0.06,0.13
AT46,L8,13,N,NA,0.1,0.14
AT46,L4,15,N,NA,0.33,0.17
AT46,L3,16,N,NA,0.63,0.21
AT46,L2,17,N,NA,1.95,0.39
EN661,L1,1,Y,0.52,2.2,0.61
EN661,L2,2,N,NA,1.31,0.33
EN661,L4,5,Y,0.22,0.98,0.22
EN661,L11,10,Y,0.09,0.51,0.06
EN661,L1,13,N,NA,1.79,0.48
EN668,L1,1,Y,0.26,1.43,0.29
EN668,L2,2,N,NA,1.03,0.2
EN668,L4,5,Y,0.13,0.64,0.11
EN668,L11,11,Y,0.09,0.56,0.09
EN668,L8,15,Y,0.1,0.51,0.08
EN668,L6,18,N,NA,0.55,0.09
EN668,L6,20,Y,0.09,0.52,0.08
EN687,L1,1,Y,0.15,1.05,0.17
EN687,L2,2,N,NA,0.8,0.13
EN687,L4,5,Y,0.15,0.67,0.11
EN687,L11,10,Y,0.07,0.59,0.1
EN687,L8,16,Y,0.1,0.6,0.1
EN687,L6,18,N,NA,0.63,0.11
EN668,L7,17,N,NA,0.51,0.08
